"Start.station.number","starthour","variable","value"
31035,15,"inflow",104
31035,16,"inflow",167
31035,17,"inflow",332
31035,18,"inflow",431
31035,19,"inflow",242
31035,20,"inflow",144
31035,21,"inflow",122
31035,22,"inflow",109
31035,23,"inflow",57
31036,0,"inflow",26
31036,1,"inflow",11
31036,4,"inflow",2
31036,5,"inflow",2
31036,6,"inflow",12
31036,7,"inflow",94
31036,8,"inflow",22
31036,9,"inflow",36
31036,10,"inflow",45
31036,11,"inflow",71
31036,12,"inflow",64
31036,13,"inflow",79
31036,14,"inflow",91
31036,15,"inflow",103
31036,16,"inflow",182
31036,17,"inflow",317
31036,18,"inflow",350
31036,19,"inflow",201
31036,20,"inflow",142
31036,21,"inflow",117
31036,22,"inflow",64
31036,23,"inflow",66
31037,0,"inflow",16
31037,1,"inflow",14
31037,2,"inflow",11
31037,3,"inflow",1
31037,4,"inflow",5
31037,5,"inflow",82
31037,6,"inflow",135
31037,7,"inflow",669
31037,8,"inflow",1445
31037,9,"inflow",740
31037,10,"inflow",354
31037,11,"inflow",328
31037,12,"inflow",378
31037,13,"inflow",365
31037,14,"inflow",293
31037,15,"inflow",376
31037,16,"inflow",439
31037,17,"inflow",544
31037,18,"inflow",514
31037,19,"inflow",309
31037,20,"inflow",260
31037,21,"inflow",141
31037,22,"inflow",79
31037,23,"inflow",51
31038,0,"inflow",8
31038,1,"inflow",5
31038,2,"inflow",1
31038,3,"inflow",1
31038,4,"inflow",1
31038,5,"inflow",3
31038,6,"inflow",57
31038,7,"inflow",150
31038,8,"inflow",175
31038,9,"inflow",198
31038,10,"inflow",78
31038,11,"inflow",109
31038,12,"inflow",93
31038,13,"inflow",90
31038,14,"inflow",46
31038,15,"inflow",53
31038,16,"inflow",114
31038,17,"inflow",116
31038,18,"inflow",140
31038,19,"inflow",84
31038,20,"inflow",49
31038,21,"inflow",37
31038,22,"inflow",24
31038,23,"inflow",16
31039,0,"inflow",18
31039,1,"inflow",14
31039,2,"inflow",9
31039,3,"inflow",3
31039,4,"inflow",1
31039,5,"inflow",41
31039,6,"inflow",170
31039,7,"inflow",316
31039,8,"inflow",192
31039,9,"inflow",202
31039,10,"inflow",238
31039,11,"inflow",202
31039,12,"inflow",244
31039,13,"inflow",234
31039,14,"inflow",242
31039,15,"inflow",286
31039,16,"inflow",337
31039,17,"inflow",335
31039,18,"inflow",364
31039,19,"inflow",275
31039,20,"inflow",173
31039,21,"inflow",147
31039,22,"inflow",89
31039,23,"inflow",52
31040,0,"inflow",14
31040,1,"inflow",7
31040,2,"inflow",2
31040,3,"inflow",1
31040,4,"inflow",2
31040,5,"inflow",3
31040,6,"inflow",21
31040,7,"inflow",19
31040,8,"inflow",207
31040,9,"inflow",152
31040,10,"inflow",80
31040,11,"inflow",104
31040,12,"inflow",134
31040,13,"inflow",135
31040,14,"inflow",108
31040,15,"inflow",124
31040,16,"inflow",205
31040,17,"inflow",384
31040,18,"inflow",289
31040,19,"inflow",166
31040,20,"inflow",95
31040,21,"inflow",47
31040,22,"inflow",28
31040,23,"inflow",21
31041,0,"inflow",16
31041,1,"inflow",12
31041,2,"inflow",14
31041,3,"inflow",4
31041,4,"inflow",2
31041,5,"inflow",3
31041,6,"inflow",4
31041,7,"inflow",23
31041,8,"inflow",142
31041,9,"inflow",259
31041,10,"inflow",296
31041,11,"inflow",294
31041,12,"inflow",412
31041,13,"inflow",487
31041,14,"inflow",409
31041,15,"inflow",345
31041,16,"inflow",376
31041,17,"inflow",422
31041,18,"inflow",454
31041,19,"inflow",314
31041,20,"inflow",214
31041,21,"inflow",103
31041,22,"inflow",48
31041,23,"inflow",49
31042,0,"inflow",24
31042,1,"inflow",15
