"","Start.station.number","starthour","freq.x","freq.y"
"878",31037,5,10,-82
"879",31037,6,42,-135
"880",31037,7,376,-669
"881",31037,8,478,-1445
"882",31037,9,477,-740
"883",31037,10,349,-354
"884",31037,11,326,-328
"885",31037,12,423,-378
"886",31037,13,379,-365
"887",31037,14,375,-293
"888",31037,15,587,-376
"889",31037,16,775,-439
"890",31037,17,1651,-544
"891",31037,18,1098,-514
"892",31037,19,561,-309
"893",31037,20,317,-260
"894",31037,21,293,-141
"895",31037,22,177,-79
"896",31037,23,114,-51
"897",31038,0,3,-8
"898",31038,1,7,-5
"899",31038,2,2,-1
"900",31038,3,2,-1
"901",31038,4,1,-1
"902",31038,5,2,-3
"903",31038,6,8,-57
"904",31038,7,103,-150
"905",31038,8,101,-175
"906",31038,9,77,-198
"907",31038,10,55,-78
"908",31038,11,115,-109
"909",31038,12,127,-93
"910",31038,13,95,-90
"911",31038,14,97,-46
"912",31038,15,132,-53
"913",31038,16,222,-114
"914",31038,17,313,-116
"915",31038,18,238,-140
"916",31038,19,133,-84
"917",31038,20,40,-49
"918",31038,21,39,-37
"919",31038,22,14,-24
"920",31038,23,5,-16
"921",31039,0,20,-18
"922",31039,1,8,-14
"923",31039,2,6,-9
"924",31039,3,5,-3
"925",31039,4,3,-1
"926",31039,5,15,-41
"927",31039,6,71,-170
"928",31039,7,484,-316
"929",31039,8,479,-192
"930",31039,9,186,-202
"931",31039,10,176,-238
"932",31039,11,268,-202
"933",31039,12,276,-244
"934",31039,13,285,-234
"935",31039,14,277,-242
"936",31039,15,254,-286
"937",31039,16,337,-337
"938",31039,17,490,-335
"939",31039,18,425,-364
"940",31039,19,324,-275
"941",31039,20,214,-173
"942",31039,21,128,-147
"943",31039,22,79,-89
"944",31039,23,43,-52
"945",31040,0,36,-14
"946",31040,1,36,-7
"947",31040,2,17,-2
"948",31040,3,15,-1
"949",31040,4,7,-2
"950",31040,5,5,-3
"951",31040,6,14,-21
"952",31040,7,69,-19
"953",31040,8,222,-207
"954",31040,9,217,-152
"955",31040,10,91,-80
"956",31040,11,108,-104
"957",31040,12,118,-134
"958",31040,13,146,-135
"959",31040,14,118,-108
"960",31040,15,168,-124
"961",31040,16,197,-205
"962",31040,17,304,-384
"963",31040,18,248,-289
"964",31040,19,215,-166
"965",31040,20,182,-95
"966",31040,21,146,-47
"967",31040,22,108,-28
"968",31040,23,43,-21
"969",31041,0,37,-16
"970",31041,1,45,-12
"971",31041,2,26,-14
"972",31041,3,3,-4
"973",31041,4,4,-2
"974",31041,5,4,-3
"975",31041,6,114,-4
"976",31041,7,98,-23
"977",31041,8,55,-142
"978",31041,9,74,-259
"979",31041,10,102,-296
"980",31041,11,153,-294
"981",31041,12,228,-412
"982",31041,13,310,-487
"983",31041,14,282,-409
"984",31041,15,301,-345
"985",31041,16,291,-376
"986",31041,17,252,-422
"987",31041,18,204,-454
"988",31041,19,145,-314
"989",31041,20,123,-214
"990",31041,21,94,-103
"991",31041,22,46,-48
"992",31041,23,56,-49
"993",31042,0,38,-24
"994",31042,1,27,-15
"995",31042,2,17,-8
"996",31042,3,3,-3
"997",31042,5,10,-3
"998",31042,6,30,-22
"999",31042,7,89,-281
"1000",31042,8,110,-995
"1001",31042,9,234,-543
"1002",31042,10,165,-244
"1003",31042,11,299,-316
"1004",31042,12,423,-428
"1005",31042,13,370,-505
"1006",31042,14,381,-401
"1007",31042,15,425,-360
"1008",31042,16,572,-360
"1009",31042,17,1025,-422
"1010",31042,18,510,-477
"1011",31042,19,329,-392
"1012",31042,20,250,-261
"1013",31042,21,148,-108
"1014",31042,22,124,-75
"1015",31042,23,58,-34
"1016",31043,0,4,-4
"1017",31043,1,1,-5
"1018",31043,2,1,-2
"1019",31043,3,1,-1
"1020",31043,4,1,NA
"1021",31043,5,23,NA
"1022",31043,6,30,-7
"1023",31043,7,109,-119
"1024",31043,8,142,-174
"1025",31043,9,127,-112
"1026",31043,10,128,-87
"1027",31043,11,187,-144
"1028",31043,12,178,-198
"1029",31043,13,182,-179
"1030",31043,14,156,-202
"1031",31043,15,127,-219
"1032",31043,16,130,-172
"1033",31043,17,213,-308
"1034",31043,18,237,-250
"1035",31043,19,166,-212
"1036",31043,20,91,-129
"1037",31043,21,21,-39
"1038",31043,22,7,-31
"1039",31043,23,11,-32
"1040",31044,0,36,-19
"1041",31044,1,16,-10
"1042",31044,2,6,-6
"1043",31044,4,1,NA
"1044",31044,5,6,-5
"1045",31044,6,23,-57
"1046",31044,7,82,-54
"1047",31044,8,214,-378
"1048",31044,9,112,-362
"1049",31044,10,106,-183
"1050",31044,11,123,-172
"1051",31044,12,187,-235
"1052",31044,13,170,-225
"1053",31044,14,215,-210
"1054",31044,15,221,-202
"1055",31044,16,232,-187
"1056",31044,17,341,-234
"1057",31044,18,287,-314
"1058",31044,19,178,-212
"1059",31044,20,155,-135
"1060",31044,21,155,-95
